using cuda
{'loss': 0.1529, 'grad_norm': 2.7949342727661133, 'learning_rate': 8.8985051140834e-06, 'epoch': 2.22}
{'loss': 0.1493, 'grad_norm': 0.5814477801322937, 'learning_rate': 8.89063729346971e-06, 'epoch': 2.23}
{'loss': 0.1553, 'grad_norm': 0.8294514417648315, 'learning_rate': 8.88276947285602e-06, 'epoch': 2.25}
{'loss': 0.1474, 'grad_norm': 0.63777756690979, 'learning_rate': 8.874901652242329e-06, 'epoch': 2.26}
{'loss': 0.1613, 'grad_norm': 0.6135004162788391, 'learning_rate': 8.86703383162864e-06, 'epoch': 2.28}
{'loss': 0.1461, 'grad_norm': 0.5343623757362366, 'learning_rate': 8.859166011014949e-06, 'epoch': 2.3}
{'loss': 0.1507, 'grad_norm': 3.0553433895111084, 'learning_rate': 8.851298190401259e-06, 'epoch': 2.31}
{'loss': 0.15, 'grad_norm': 2.2061800956726074, 'learning_rate': 8.84343036978757e-06, 'epoch': 2.33}
{'loss': 0.1436, 'grad_norm': 1.6836035251617432, 'learning_rate': 8.835562549173879e-06, 'epoch': 2.34}
{'loss': 0.1485, 'grad_norm': 1.8171753883361816, 'learning_rate': 8.82769472856019e-06, 'epoch': 2.36}
{'loss': 0.1453, 'grad_norm': 0.898746907711029, 'learning_rate': 8.8198269079465e-06, 'epoch': 2.37}
{'loss': 0.146, 'grad_norm': 0.6114844679832458, 'learning_rate': 8.81195908733281e-06, 'epoch': 2.39}
{'loss': 0.1475, 'grad_norm': 0.7760403752326965, 'learning_rate': 8.80409126671912e-06, 'epoch': 2.41}
{'loss': 0.1553, 'grad_norm': 0.8870534300804138, 'learning_rate': 8.79622344610543e-06, 'epoch': 2.42}
{'loss': 0.1482, 'grad_norm': 0.7490625381469727, 'learning_rate': 8.78835562549174e-06, 'epoch': 2.44}
{'loss': 0.1596, 'grad_norm': 0.9554540514945984, 'learning_rate': 8.78048780487805e-06, 'epoch': 2.45}
{'loss': 0.1469, 'grad_norm': 0.8308631777763367, 'learning_rate': 8.77261998426436e-06, 'epoch': 2.47}
{'loss': 0.1526, 'grad_norm': 0.775213897228241, 'learning_rate': 8.76475216365067e-06, 'epoch': 2.48}
{'loss': 0.1466, 'grad_norm': 0.9855550527572632, 'learning_rate': 8.75688434303698e-06, 'epoch': 2.5}
{'loss': 0.1392, 'grad_norm': 0.620948076248169, 'learning_rate': 8.749016522423289e-06, 'epoch': 2.52}
{'loss': 0.153, 'grad_norm': 0.6387367844581604, 'learning_rate': 8.7411487018096e-06, 'epoch': 2.53}
{'loss': 0.1453, 'grad_norm': 1.1978464126586914, 'learning_rate': 8.733280881195909e-06, 'epoch': 2.55}
{'loss': 0.1612, 'grad_norm': 1.335317611694336, 'learning_rate': 8.725413060582219e-06, 'epoch': 2.56}
{'loss': 0.1479, 'grad_norm': 0.6346795558929443, 'learning_rate': 8.717545239968529e-06, 'epoch': 2.58}
{'loss': 0.1466, 'grad_norm': 1.2507354021072388, 'learning_rate': 8.70967741935484e-06, 'epoch': 2.59}
{'loss': 0.1546, 'grad_norm': 0.950872540473938, 'learning_rate': 8.70180959874115e-06, 'epoch': 2.61}
{'loss': 0.1488, 'grad_norm': 1.073702096939087, 'learning_rate': 8.69394177812746e-06, 'epoch': 2.63}
{'loss': 0.1537, 'grad_norm': 0.783269464969635, 'learning_rate': 8.68607395751377e-06, 'epoch': 2.64}
{'loss': 0.1405, 'grad_norm': 0.8077993392944336, 'learning_rate': 8.67820613690008e-06, 'epoch': 2.66}
{'loss': 0.1493, 'grad_norm': 0.56682950258255, 'learning_rate': 8.67033831628639e-06, 'epoch': 2.67}
{'loss': 0.1468, 'grad_norm': 0.8711875677108765, 'learning_rate': 8.6624704956727e-06, 'epoch': 2.69}
{'loss': 0.1574, 'grad_norm': 0.5463061928749084, 'learning_rate': 8.65460267505901e-06, 'epoch': 2.7}
{'loss': 0.1415, 'grad_norm': 0.5453711748123169, 'learning_rate': 8.646734854445318e-06, 'epoch': 2.72}
{'loss': 0.1529, 'grad_norm': 0.5577381253242493, 'learning_rate': 8.63886703383163e-06, 'epoch': 2.74}
{'loss': 0.1603, 'grad_norm': 1.1462048292160034, 'learning_rate': 8.63099921321794e-06, 'epoch': 2.75}
{'loss': 0.1499, 'grad_norm': 0.799041748046875, 'learning_rate': 8.623131392604249e-06, 'epoch': 2.77}
{'loss': 0.1571, 'grad_norm': 0.613588809967041, 'learning_rate': 8.61526357199056e-06, 'epoch': 2.78}
{'loss': 0.1427, 'grad_norm': 0.6350709795951843, 'learning_rate': 8.607395751376869e-06, 'epoch': 2.8}
{'loss': 0.1608, 'grad_norm': 0.7059709429740906, 'learning_rate': 8.599527930763179e-06, 'epoch': 2.81}
{'loss': 0.1569, 'grad_norm': 0.8871071338653564, 'learning_rate': 8.59166011014949e-06, 'epoch': 2.83}
